City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
286,Acari,PE,83.89,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
288,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
290,Parana,AR,87.46,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
293,Cacu,BR,81.97,light rain,-18.5567,-51.1308,Império Hotel
294,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
299,Mango,US,80.96,light rain,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
300,Clearwater,US,80.17,overcast clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
301,Gamba,GA,78.91,overcast clouds,-2.65,10.0,
304,Bom Sucesso,BR,79.99,broken clouds,-21.0331,-44.7581,Hotel Bela Vista
309,Big Spring,US,81.23,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
311,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
314,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
315,Ternate,ID,80.29,light rain,0.8,127.4,Sahid Bela Ternate Hotel
316,Miguel Auza,MX,77.47,clear sky,24.2933,-103.4503,Hotel Del Centro
318,Kimbe,PG,77.22,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
319,Vao,NC,79.83,light rain,-22.6667,167.4833,Hotel Kou-Bugny
324,Santa Isabel,BR,80.31,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
327,Trairi,BR,82.27,light rain,-3.2778,-39.2689,janelas do mar
328,Teluk Nibung,ID,75.96,light rain,3.001,99.8164,Hotel Assyifa
338,Vallenar,CL,84.27,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
339,Rio Grande,BR,79.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
341,Mahajanga,MG,79.86,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
349,Buchanan,LR,80.91,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
352,Binga,ZW,75.74,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
353,Magdalena,PH,81.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
355,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
